place_id,name_place,city_id,country_id,description,image,activity,region,rating,country
1,Gyeongbokgung Palace,1,1,"Dating back to 1395, Gyeongbokgung Palace served as the residence of the Joseon dynasty rulers, their households, and governments. Though much of the original structure was destroyed by fire in the late 16th century, the palace was reconstructed during the 19th-century reign of King Gojong. The expansive complex includes a number of pavilions and halls, as well as the royal family's private quarters. Also on premises, you'll find the National Folk Museum, National Palace Museum, and a number of traditional Korean gardens. ",https://s.inspirockcdn.com/ds10/photos/South%20Korea/f/gyeongbokgung-palace--1123954984.jpg,Indoor,Seoul,4.2,Korea
2,N Seoul Tower,1,1,"Ride the elevator to the top levels of N Seoul Tower, a broadcast and observation tower. Serving as South Korea's first general radio broadcasting tower, the 236.7 m (777 ft) structure also includes four floors of attractions interspersed with observation platforms. Visit the teddy bear museum and stop by the observation points, or take a seat at the French or Korean restaurant to dine with sweeping views of Seoul below. Check out the roof terrace and its thousands of ""Locks of Love.""",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/n-seoul-tower-1789845929.jpg,Outdoor,Seoul,4.2,Korea
3,Changdeokgung Palace,1,1,"Listed as a World Heritage Site, Changdeokgung Palace represents the main palace of Joseon Dynasty's kings, which shelters lotus ponds, pavilions, and some 300-year-old trees. Established in 1395, the palace compound contains a royal family residence, a public area, and a secret garden, as well as other simplistic elements dating back to the period of Three Kingdoms. Go on a tour to explore the harmonious palace and its halls, which were purposely constructed and designed by implementing feng shui principles and Confucian ideology. You'll also find snack bars, shaded rest areas, and benches here. ",https://s.inspirockcdn.com/ds10/photos/South%20Korea/f/changdeokgung-palace-1190362335.jpg,Indoor,Seoul,4.5,Korea
4,Namsan Park,1,1,"Enjoy some fresh air at the mountaintop Namsan Park, one of the city's most popular areas for strolling, picnicking, and relaxing. Make your way up to the top of the 262 m (860 ft) peak via cable car to take in sweeping views over the capital's urban sprawl. Go for a leisurely wander around the network of walking paths crisscrossing the park and meandering through the area's wooded landscape. You'll find sport facilities for badminton, tennis, swimming, baseball, and more around the park, as well as a botanical garden, library, and cultural center.",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/namsan-park--1608384188.jpg,Outdoor,Seoul,4.4,Korea
5,Bukhansan National Park,1,1,"Hailed as the capital's only natural reserve, Bukhansan National Park shelters a rich biodiversity tucked away amid three granite mountain peaks--Baegunbong, Mangyeongbong, and Insubong. Also known as the Triangle Mountain, the national park boasts more than 1,300 species of animal and plant life, as well as an abundance of cultural and historical sites. As you explore the valleys and ridges, you'll come across many Buddhist temples and hermitages scattered all over the gentle slopes. Each season brings something visually unique to the park, so bring your camera and hiking shoes to experience those moments. Always carry extra water with you, and check the weather conditions in order to dress yourself properly for exploration. ",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/bukhansan-national-park-909468899.jpg,Outdoor,Seoul,4.8,Korea
6,Namsangol Hanok Village,1,1,"Learn about the life of a Joseon Dynasty peasant or aristocrat at Namsangol Hanok Village. Comprising of 5 historically furnished hanoks (traditional Korean dwellings), the site contains structures reclaimed from across the city and relocated to this locality in the shadow of Mount Namsan. Take part in paper-making workshops and calligraphy sessions, to try on a few traditional costumes. The onsite teahouse offers refreshments and a chance to soak up a few more traditional experiences, with martial art performances offered on a daily basis. ",images/destination-2.jpg,Outdoor,Seoul,4.1,Korea
7,Manjanggul Cave,2,1,"A 30 m tall (98.5 ft) and 23 m (75.5 ft) wide lava tube penetrating more than 13 km (8 mi) into the earth, Manjanggul Cave makes up part of a World Heritage Site sheltering exceptional volcanic rock formations and wildlife. Observe the world's largest lava column standing 7.6 m (25 ft) tall, and a stone shape resembling Jeju Island. Part of a larger lava tube system, the cave features the greatest number of living creatures of all tubes on the island, including bats and the Jeju cave-spider. Formed 200,000-300,000 years ago, the tunnel remains remarkably well-preserved with lava stalagmites and stalactites and cascades of funky flowstones. Watch the slippery steps and dress for 10 C (50 F).",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/manjanggul-cave-1293324892.jpg,Indoor,Jeju,3.9,Korea
8,Halla Mountain,2,1,"At the center of Jeju Island lies Halla Mountain, a designated nature reserve which contains hundreds of cone-shaped volcanos surrounding the main mountain. Famous for its diverse ecosystem due to changes in altitude and temperature, the park shelters 1,800 species of identified plant life and 4,000 species of animals. Go on a hiking trip of 10 km (6.2 mi) to explore the natural haven, or you can even head to the mountain top with no terrain difficulties. Bear in mind that the weather unpredictably changes, so make thorough preparations, especially before ascending to the peak. ",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/hallasan-national-park-1943779997.jpg,Outdoor,Jeju,4.5,Korea
9,Hyeopjae Beach,2,1,"Part of Hanrim Park, Hyeopjae Beach stretches all of 9 km (5.6 mi), its white sand colored by crushed seashells. With an island just off the coast and mountain in the background, the beach offers plenty of scenic views. Some 20 m (66 ft) wide and about 1.2 m (4 ft) deep, its shallows are smooth without abrupt drops. Evergreen groves behind the beach provide a convenient spot for camping, with a number of amenities such as showers and eateries.",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/hyeopjae-beach--1001738079.jpg,Outdoor,Jeju,4.4,Korea
10,Eco Land Theme Park,2,1,"Take a detour into the depths of the Gotjawal Forest at Eco Land Theme Park, an outdoor tourist center offering a gateway to the primeval woods of Mount Halla. Ride around the perimeter of the park on its train, a replica 19th-century steam-powered locomotive, hopping off at regular stops for entertainment, walks, and places to eat. The floating cafe boasts tranquil lakeside views; alternatively, pack a picnic to take advantage of plenty of outdoor seating. A children's discovery zone provides entertainment for the little ones, alongside the numerous animals scattered across the site. The train journey departs every eight to ten minutes.",https://s.inspirockcdn.com/ds10/photos/South%20Korea/3/eco-land-theme-park--2018604429.jpg,Outdoor,Jeju,4,Korea
